ID,Name,City,Country,IATA 3,Latitute,Longitude
188,Armstrong Airport,Armstrong,Canada,YYW,50.29029846,-88.90969849
189,Mont Joli Airport,Mont Joli,Canada,YYY,48.60860062,-68.20809937
190,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.67720032,-79.63059998
191,Downsview Airport,Toronto,Canada,YZD,43.74250031,-79.46559906
192,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.88529968,-82.56780243
193,Yellowknife Airport,Yellowknife,Canada,YZF,62.46279907,-114.4400024
194,Slave Lake Airport,Slave Lake,Canada,YZH,55.29309845,-114.7770004
195,Sandspit Airport,Sandspit,Canada,YZP,53.25429916,-131.8139954
196,Chris Hadfield Airport,Sarnia,Canada,YZR,42.99940109,-82.30889893
197,Port Hardy Airport,Port Hardy,Canada,YZT,50.68059921,-127.3669968
198,Whitecourt Airport,Whitecourt,Canada,YZU,54.14390182,-115.7870026
199,Sept-Îles Airport,Sept-iles,Canada,YZV,50.22330093,-66.26560211
200,Teslin Airport,Teslin,Canada,YZW,60.17279816,-132.7429962
201,CFB Greenwood,Greenwood,Canada,YZX,44.9844017,-64.91690063
202,Faro Airport,Faro,Canada,ZFA,62.20750046,-133.3760071
203,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.40750122,-134.8609924
204,Soummam Airport,Bejaja,Algeria,BJA,36.7120018,5.069920063
205,Houari Boumediene Airport,Algier,Algeria,ALG,36.69100189,3.215409994
206,Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.2928009,9.452440262
207,Boufarik Airport,Boufarik,Algeria,QFD,36.545799,2.87611
208,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.7234993,8.622650146
209,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.81150055,5.451079845
210,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.79510117,5.87361002
211,Annaba Airport,Annaba,Algeria,AAE,36.82220078,7.809169769
212,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.27600098,6.620389938
213,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.43159866,8.12071991
214,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.93040085,3.311539888
215,Bou Chekif Airport,Tiaret,Algeria,TID,35.34109879,1.463150024
216,Tindouf Airport,Tindouf,Algeria,TIN,27.7003994,-8.167099953
217,Ech Cheliff Airport,Ech-cheliff,Algeria,QAS,36.21269989,1.331769943
218,Tafaraoui Airport,Oran,Algeria,TAF,35.54240036,-0.532278001
219,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.01670074,-1.450000048
220,Es Senia Airport,Oran,Algeria,ORN,35.62390137,-0.621182978
221,Ghriss Airport,Ghriss,Algeria,MUW,35.20769882,0.147141993
222,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.83760071,-0.186414003
223,Biskra Airport,Biskra,Algeria,BSK,34.79330063,5.738230228
224,El Golea Airport,El Golea,Algeria,ELG,30.57130051,2.859590054
225,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.38410187,3.79411006
226,Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.67300034,6.140439987
227,In Salah Airport,In Salah,Algeria,INZ,27.25099945,2.512020111
228,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.06779861,6.088669777
229,Laghouat Airport,Laghouat,Algeria,LOO,33.76440048,2.928339958
230,Timimoun Airport,Timimoun,Algeria,TMX,29.2371006,0.276033014
231,Ain el Beida Airport,Ouargla,Algeria,OGX,31.91720009,5.412779808
232,In Aménas Airport,Zarzaitine,Algeria,IAM,28.05150032,9.642910004
233,Cadjehoun Airport,Cotonou,Benin,COO,6.357230186,2.384350061
234,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.35319996,-1.512420058
235,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.16009998,-4.33096981
236,Kotoka International Airport,Accra,Ghana,ACC,5.6051898,-0.166786
237,Tamale Airport,Tamale,Ghana,TML,9.557189941,-0.863214016
238,Sunyani Airport,Sunyani,Ghana,NYI,7.361830235,-2.328759909
239,Takoradi Airport,Takoradi,Ghana,TKD,4.89605999,-1.774760008
240,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.261390209,-3.926290035
241,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.738800049,-5.07366991
242,Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.792809963,-6.473189831
243,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.387180328,-5.556660175
244,Man Airport,Man,Cote d'Ivoire,MJC,7.272069931,-7.587359905
245,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.746719837,-6.660820007
246,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.903170109,-5.365580082
247,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161,7.263169765
248,Akure Airport,Akure,Nigeria,AKR,7.246739864,5.301010132
249,Benin Airport,Benin,Nigeria,BNI,6.316979885,5.599500179
250,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.976019859,8.347200394
251,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.474269867,7.56196022
252,Gusau Airport,Gusau,Nigeria,QUS,12.17169952,6.696109772
253,Ibadan Airport,Ibadan,Nigeria,IBA,7.362460136,3.978329897
254,Ilorin International Airport,Ilorin,Nigeria,ILR,8.440210342,4.493919849
255,Yakubu Gowon Airport,Jos,Nigeria,JOS,9.639829636,8.869050026
256,Kaduna Airport,Kaduna,Nigeria,KAD,10.6960001,7.320109844
257,Mallam Aminu International Airport,Kano,Nigeria,KAN,12.04759979,8.524620056
258,Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.85529995,13.08090019
259,Makurdi Airport,Makurdi,Nigeria,MDI,7.703879833,8.613940239
260,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.577370167,3.321160078
261,Minna Airport,Minna,Nigeria,MXJ,9.652170181,6.462259769
262,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.015490055,6.949590206
263,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.91629982,5.207190037
264,Yola Airport,Yola,Nigeria,YOL,9.25755024,12.43039989
265,Zaria Airport,Zaria,Nigeria,ZAR,11.13020039,7.685810089
266,Maradi Airport,Maradi,Niger,MFQ,13.50249958,7.126749992
267,Diori Hamani International Airport,Niamey,Niger,NIM,13.48149967,2.183609962
268,Tahoua Airport,Tahoua,Niger,THZ,14.8757,5.265359879
269,Mano Dayak International Airport,Agadez,Niger,AJY,16.9659996,8.000109673
270,Zinder Airport,Zinder,Niger,ZND,13.77900028,8.98375988
271,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.7580986,10.75469971
272,Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.85100174,10.22719955
273,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.42200089,8.822500229
274,Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.87689972,10.10330009
275,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.7755003
276,El Borma Airport,El Borma,Tunisia,EBM,31.70429993,9.254619598
277,Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.7179985,10.69099998
278,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.93970108,8.110560417
279,Niamtougou International Airport,Niatougou,Togo,LRL,9.76733017,1.091249943
280,Lomé-Tokoin Airport,Lome,Togo,LFW,6.165609837,1.254510045
281,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.18939972,4.460279942
282,Brussels Airport,Brussels,Belgium,BRU,50.90140152,4.48443985
283,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.45920181,4.453820229
284,Wevelgem Airport,Kortrijk-vevelgem,Belgium,QKT,50.81719971,3.20472002
285,Liège Airport,Liege,Belgium,LGG,50.63740158,5.443220139
286,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.19889832,2.862220049
287,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.98194504,12.50638866
288,Barth Airport,Barth,Germany,BBH,54.338253,12.710515
289,Berlin-Schönefeld International Airport,Berlin,Germany,SXF,52.38000107,13.52250004
290,Dresden Airport,Dresden,Germany,DRS,51.13280106,13.76720047
291,Erfurt Airport,Erfurt,Germany,ERF,50.97980118,10.95810032
292,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556
293,Münster Osnabrück Airport,Munster,Germany,FMO,52.13460159,7.684830189
294,Hamburg Airport,Hamburg,Germany,HAM,53.63040161,9.988229752
295,Berlin-Tempelhof International Airport,Berlin,Germany,THF,52.47299957,13.40390015
296,Cologne Bonn Airport,Cologne,Germany,CGN,50.86589813,7.142739773
297,Düsseldorf International Airport,Duesseldorf,Germany,DUS,51.28950119,6.7667799
298,Munich International Airport,Munich,Germany,MUC,48.35380173,11.78610039
299,Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.0780556
300,Leipzig Halle Airport,Leipzig,Germany,LEJ,51.4238889,12.2363889
301,Saarbrücken Airport,Saarbruecken,Germany,SCN,49.21459961,7.109509945
302,Stuttgart Airport,Stuttgart,Germany,STR,48.68989944,9.221960068
303,Berlin-Tegel International Airport,Berlin,Germany,TXL,52.55970001,13.2876997
304,Hannover Airport,Hannover,Germany,HAJ,52.46110153,9.685079575
305,Bremen Airport,Bremen,Germany,BRE,53.04750061,8.786669731
306,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,49.95999908,8.645833015
307,Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.94869995,7.26388979
308,Mannheim-City Airport,Mannheim,Germany,MHG,49.47305679,8.514166832
309,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,53.53527832,9.83555603
310,Kiel-Holtenau Airport,Kiel,Germany,KEL,54.37944412,10.14527798
311,Lübeck Blankensee Airport,Luebeck,Germany,LBC,53.80540085,10.71920013
312,Arnsberg-Menden Airport,Arnsberg,Germany,ZCA,51.48389053,7.898333073
313,Essen Mulheim Airport,Essen,Germany,ESS,51.40230179,6.937329769
314,Mönchengladbach Airport,Moenchengladbach,Germany,MGL,51.23027802,6.504444122
315,Paderborn Lippstadt Airport,Paderborn,Germany,PAD,51.61410141,8.616319656
316,Dortmund Airport,Dortmund,Germany,DTM,51.5182991,7.612239838
317,Augsburg Airport,Augsburg,Germany,AGB,48.425278,10.931667
318,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF,48.08140182,11.28310013
319,Straubing Airport,Straubing,Germany,RBM,48.90083313,12.51666737
320,Friedrichshafen Airport,Friedrichshafen,Germany,FDH,47.67129898,9.511489868
321,Schwerin Parchim Airport,Parchim,Germany,SZW,53.426998,11.7834
322,Stendal-Borstel Airport,Stendal,Germany,ZSN,52.62888718,11.81861115
323,Bayreuth Airport,Bayreuth,Germany,BYU,49.98500061,11.64000034
324,Hof-Plauen Airport,Hof,Germany,HOQ,50.28861237,11.85638905
325,Koblenz-Winningen Airport,Koblenz,Germany,ZNV,50.32555771,7.528611183
326,Trier-Föhren Airport,Trier,Germany,ZQF,49.86388779,6.787499905
327,Speyer Airport,Speyer,Germany,ZQC,49.30472183,8.451389313
328,Zweibrücken Airport,Zweibruecken,Germany,ZQW,49.20940018,7.400559902
329,Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL,47.97333145,8.522221565
330,Braunschweig Wolfsburg Airport,Braunschweig,Germany,BWE,52.319199,10.5561
331,Kassel-Calden Airport,Kassel,Germany,KSF,51.417273,9.384967
332,Bremerhaven Airport,Bremerhaven,Germany,BRV,53.506943,8.572778
333,Emden Airport,Emden,Germany,EME,53.39110947,7.227499962
334,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,WVN,53.50222015,8.052222252
335,Borkum Airport,Borkum,Germany,BMK,53.59638977,6.709167004
336,Norderney Airport,Norderney,Germany,NRD,53.70694351,7.230000019
337,Flensburg-Schäferhaus Airport,Flensburg,Germany,FLF,54.7733345,9.378889084
338,Westerland Sylt Airport,Westerland,Germany,GWT,54.91320038,8.340470314
339,Kärdla Airport,Kardla,Estonia,KDL,58.99079895,22.83069992
340,Kuressaare Airport,Kuressaare,Estonia,URE,58.22990036,22.5095005
341,Pärnu Airport,Parnu,Estonia,EPU,58.41899872,24.4727993
